Repository,Description,Language,Stars
Shubhamsaboo/awesome-llm-apps,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models.",Python,52631
Genesis-Embodied-AI/Genesis,A generative world for general-purpose robotics & embodied AI learning.,Python,26519
daveebbelaar/ai-cookbook,Examples and tutorials to help developers build AI systems,Python,1982
tldr-pages/tldr,ðŸ“š Collaborative cheatsheets for console commands,Markdown,57007
microsoft/generative-ai-for-beginners,"21 Lessons, Get Started Building with Generative AI ðŸ”— https://microsoft.github.io/generative-ai-for-beginners/",Jupyter Notebook,93127
dgtlmoon/changedetection.io,"Best and simplest tool for website change detection, web page monitoring, and website change alerts. Perfect for tracking content changes, price drops, restock alerts, and website defacement monitoringâ€”all for free or enjoy our SaaS plan!",Python,25216
mikf/gallery-dl,Command-line program to download image galleries and collections from several image hosting sites,Python,14330
outline/outline,"The fastest knowledge base for growing teams. Beautiful, realtime collaborative, feature packed, and markdown compatible.",TypeScript,33051
ashishpatel26/500-AI-Agents-Projects,"The 500 AI Agents Projects is a curated collection of AI agent use cases across various industries. It showcases practical applications and provides links to open-source projects for implementation, illustrating how AI agents are transforming sectors such as healthcare, finance, education, retail, and more.",Unknown,2312
mattermost-community/focalboard,"Focalboard is an open source, self-hosted alternative to Trello, Notion, and Asana.",TypeScript,23965
SillyTavern/SillyTavern,LLM Frontend for Power Users.,JavaScript,16481
